feature,gain,split
prop_location_score2,1522458.6608467102,3939
location2_rank_norm,767132.1065387726,3273
prop_dest_book_rate,758084.2657375336,3969
prop_click_rate,633897.4637126923,3057
price_vs_prop_mean,558607.9690189362,2970
prop_avg_position,508948.23241996765,4417
prop_price_zscore,501678.77531814575,3219
location2_rank,479352.22242355347,1967
price_ratio_to_hist,445935.42355155945,3608
value_score_rank,392764.3671207428,1865
loc2_vs_mean,319893.75918769836,3526
price_z_score,304289.74341773987,2657
price_diff_from_hist,297671.9387779236,3050
prop_rel_rate,287910.64056396484,2463
dest_count,269317.6499195099,2927
price_vs_median,259688.45730018616,2372
prop_site_book_rate,247499.6801185608,3296
price_rank,242518.58059692383,1435
prop_location_score1,233497.86807632446,2606
value_score_rank_norm,217221.7674217224,2416
loc1_vs_mean,216281.26400375366,3084
review_vs_mean,209347.44762420654,2749
location_total,202426.0686264038,2558
price_vs_mean,195489.0044670105,2125
promo_x_cheap,190654.41493415833,1443
prop_count,183676.42806053162,2821
orig_destination_distance,182776.29837989807,3090
review_percentile,182435.35260391235,2493
log_price_z_score,171875.83259391785,2016
prop_std_price,168362.63137054443,2623
price_per_night_per_star,168302.6243095398,2628
query_hotel_count,163315.9420928955,1549
query_star_mean,157259.4598350525,2316
prop_book_rate,154507.69371032715,2389
price_vs_dest_mean,154439.7388420105,2311
price_vs_max,149554.79592132568,2446
price_per_night,149178.19478797913,2382
prop_click_count,148655.0038909912,1613
price_per_guest,148635.90042877197,2492
dest_click_rate,147934.16232681274,2482
total_cost,147044.325548172,2448
prop_log_historical_price,142663.76266670227,2209
prop_book_given_click,140954.23970413208,2425
srch_booking_window,137450.68209838867,2274
quality_rank_avg,135760.81572532654,2281
dest_mean_star,135113.85680007935,2122
prop_mean_price,135108.70184326172,2052
review_vs_dest_mean,132614.6254749298,2087
dest_mean_price,131417.82758903503,2157
price_to_min_ratio,131188.28851127625,2092
review_rank_norm,129387.77470970154,1946
value_score,127685.14696121216,1956
dest_book_rate,127202.58934402466,2184
price_percentile,125607.40794944763,1707
dest_mean_review,125193.26008605957,2118
query_price_std,124378.43511199951,2041
location_total_rank_norm,124291.1067276001,2130
srch_destination_id,121614.55658721924,2193
site_dest_book_rate,120767.17513847351,2192
price_per_person,119520.17789649963,2122
star_vs_mean,117587.67875671387,1688
location1_rank_norm,116612.93973350525,2061
query_price_mean,113416.59573364258,1850
site_book_rate,111190.38480567932,1810
value_gap,111148.63941001892,1898
price_per_star,111072.1803188324,1840
star_percentile,109327.1012916565,1637
star_vs_dest_mean,108952.806848526,1830
comp_advantage_rank_norm,107752.54696655273,1999
comp_rate_pct_mean,102604.43434715271,1782
review_rank,101039.79414749146,1251
site_country_book_rate,97956.2713432312,1670
starrating_rank_norm,97577.88896560669,1552
price_vs_min,94442.55771446228,1580
price_rank_norm,89476.12364006042,1386
country_book_rate,86349.7580280304,1376
price_per_room,85574.01210975647,1462
cpair_book_rate,84071.28490257263,1469
log_distance,83560.33506584167,1427
hour,82799.03371047974,1527
srch_query_affinity_score,82661.59037971497,1171
comp_rate_pct_max,79602.80389595032,1376
price_usd,76046.02740097046,1227
log_prop_count,73508.27471351624,1145
price_ratio_to_visitor_hist,72782.46175956726,901
comp_advantage_rank,72061.95783233643,1151
comp_rate_pct_min,71184.07493972778,1291
query_affinity_exp,66958.086145401,924
location_total_rank,62253.23944282532,1079
location1_rank,61630.28466796875,1039
starrating_rank,59476.548707962036,878
price_diff_from_visitor_hist,52733.67784690857,733
star_review_product,49789.341077804565,567
abs_star_diff,49257.3380317688,664
distance_x_international,48567.61506843567,815
visitor_location_country_id,46777.95810317993,798
visitor_hist_adr_usd,45172.500577926636,636
prop_review_score,41983.27279663086,382
site_id,40370.24430656433,673
star_diff,39317.2084312439,583
prop_country_id,38392.107025146484,621
month,34588.85796165466,643
star_x_brand,34318.26911354065,403
dayofweek,33799.88187789917,634
visitor_hist_starrating,33283.73689651489,478
srch_length_of_stay,30273.57316017151,460
log_price,26181.203399658203,472
comp_inv_count,24247.540468215942,424
is_discounted,22583.730293273926,51
prop_brand_bool,20542.099531173706,197
total_guests,20202.874059677124,353
comp_rate_count,19945.015619277954,385
srch_children_count,18822.100311279297,306
comp_rate_sum,18026.236392974854,313
prop_starrating,17612.79016685486,102
promotion_flag,16711.583618164062,118
srch_adults_count,16634.583000183105,274
has_location_score2,12769.779022216797,15
n_best_flags,11374.383918762207,184
comp_more_expensive_count,10875.155143737793,188
is_domestic,9980.095268249512,143
comp_rate_advantage,8822.264881134033,150
is_overpriced,7710.791065216064,47
is_last_minute,7250.51969909668,96
comp_cheaper_count,6993.675910949707,140
comp_no_inv_count,6897.018196105957,133
srch_room_count,6662.569122314453,114
is_family,4046.557586669922,67
srch_saturday_night_bool,3741.987506866455,65
is_long_window,2723.329092025757,49
is_short_window,2481.422388076782,48
is_weekend_search,1826.3398056030273,31
review_is_zero,1401.7194061279297,18
has_query_affinity,797.6447067260742,11
starrating_is_zero,768.2301025390625,6
is_cheapest,654.0783996582031,6
is_best_review,565.4564018249512,7
is_best_location1,456.5918960571289,8
is_best_star,422.3151969909668,7
has_distance,173.31119918823242,3
is_most_expensive,127.02720260620117,2
has_historical_price,0.0,0
has_visitor_history,0.0,0
