feature,gain,split
prop_dest_book_rate,34492.94421195984,4603
location2_rank_norm,23393.908210277557,4502
prop_location_score2,22078.67635792494,5011
price_ratio_to_hist,13082.867245078087,4265
prop_price_zscore,12673.184808850288,4392
price_vs_prop_mean,12522.339468896389,3701
prop_avg_position,11717.272335290909,4621
loc2_vs_mean,11070.99850064516,4881
prop_click_rate,10876.350993514061,3365
value_score_rank,10673.745640933514,2239
location2_rank,10036.915435314178,2649
price_z_score,9352.902701616287,3655
value_score_rank_norm,9221.326173901558,3140
prop_rel_rate,9094.387343585491,3048
price_diff_from_hist,9017.898512780666,3784
query_hotel_count,8503.979290604591,3157
prop_site_book_rate,8244.945537745953,4261
price_vs_median,8073.837841510773,3357
dest_count,7762.430246472359,3186
price_vs_mean,7222.148941040039,3111
review_vs_mean,7173.258064985275,3677
loc1_vs_mean,7027.5223932266235,3955
orig_destination_distance,6396.486442089081,4099
review_percentile,6302.660080969334,3266
prop_location_score1,6077.051750481129,2459
prop_book_rate,5990.242899894714,3144
log_price_z_score,5834.807665705681,2831
location_total,5794.651859343052,2906
prop_count,5780.876040458679,3423
query_star_mean,5415.509392261505,3233
prop_std_price,5301.749985694885,3223
price_per_night_per_star,5254.398227870464,3167
quality_rank_avg,5196.763244509697,3053
promo_x_cheap,5147.165187895298,1776
price_vs_dest_mean,5137.519426882267,3131
price_to_min_ratio,5075.285373806953,2987
dest_click_rate,4909.926734387875,2979
prop_click_count,4864.482055842876,1917
price_rank,4858.203953742981,1876
price_per_night,4823.30259758234,3005
review_vs_dest_mean,4792.322693884373,2857
price_vs_max,4721.826328754425,2960
price_per_guest,4679.280380189419,2938
total_cost,4671.537431180477,2937
srch_destination_id,4618.339211285114,3043
prop_mean_price,4574.575306952,2665
star_vs_mean,4539.49304485321,2496
dest_book_rate,4512.332082211971,2809
value_score,4508.329196095467,2735
srch_booking_window,4491.959662795067,2823
prop_log_historical_price,4457.406058251858,2758
review_rank_norm,4443.293241322041,2592
price_percentile,4436.768371522427,2234
prop_book_given_click,4416.724479615688,2916
price_per_person,4379.752476990223,2842
star_percentile,4340.542562365532,2457
location_total_rank_norm,4333.9100442528725,2728
star_vs_dest_mean,4315.875801026821,2626
dest_mean_price,4269.0987865924835,2684
location1_rank_norm,4251.879635095596,2667
query_price_std,4181.528470516205,2701
price_per_star,4161.018543601036,2531
dest_mean_star,4152.6514793634415,2578
site_dest_book_rate,4108.950263977051,2635
value_gap,4084.0698414444923,2572
dest_mean_review,3978.2252373099327,2539
comp_advantage_rank_norm,3916.744463443756,2600
price_vs_min,3846.8368562459946,2266
query_price_mean,3783.675129234791,2360
starrating_rank_norm,3570.703705072403,2101
price_rank_norm,3441.2914252877235,1938
price_per_room,3338.6849489212036,2050
site_book_rate,3056.3104625940323,1984
comp_rate_pct_mean,3022.708498954773,1922
location_total_rank,3021.4496655464172,1688
hour,2910.050370514393,1952
log_distance,2896.7073563337326,1853
price_usd,2849.6928468346596,1748
site_country_book_rate,2819.3944950699806,1871
review_rank,2795.150089085102,1441
country_book_rate,2663.0257853865623,1721
cpair_book_rate,2648.6250131726265,1788
comp_rate_pct_max,2539.4638742804527,1605
log_prop_count,2333.3160741329193,1341
comp_rate_pct_min,2278.6610823869705,1490
location1_rank,2205.2202265262604,1296
srch_query_affinity_score,2172.2781406641006,1340
price_ratio_to_visitor_hist,1799.5764958262444,951
star_review_product,1761.9351516962051,845
query_affinity_exp,1689.9851089715958,1043
starrating_rank,1663.1751399040222,974
comp_advantage_rank,1608.3235001564026,1041
price_diff_from_visitor_hist,1538.1898840665817,867
prop_review_score,1466.1907967329025,577
month,1424.1352456212044,948
visitor_hist_adr_usd,1374.95870667696,804
prop_country_id,1303.0916209816933,834
dayofweek,1255.3925080299377,838
distance_x_international,1254.4562123417854,797
site_id,1237.327451467514,789
abs_star_diff,1220.8071531653404,720
visitor_location_country_id,1200.4612900018692,797
star_x_brand,1083.7154467701912,515
log_price,1015.1775904893875,632
comp_inv_count,965.7505307197571,622
visitor_hist_starrating,949.4724967479706,576
star_diff,918.3862639665604,588
comp_rate_count,901.9389075636864,603
total_guests,749.5691843032837,495
srch_adults_count,735.982564330101,434
srch_length_of_stay,729.6383565664291,479
is_discounted,653.5784651637077,49
srch_children_count,614.6104971170425,390
n_best_flags,606.0675002336502,347
comp_rate_sum,559.7428640127182,363
prop_brand_bool,422.17698085308075,170
promotion_flag,405.99930143356323,142
prop_starrating,380.93543392419815,134
srch_room_count,346.97350174188614,202
comp_more_expensive_count,324.709057867527,209
is_domestic,289.1511668562889,166
is_overpriced,284.38526117801666,34
comp_rate_advantage,266.09048104286194,167
comp_no_inv_count,220.2044808268547,153
comp_cheaper_count,152.86529797315598,108
is_last_minute,139.01175874471664,79
is_family,127.34708458185196,77
srch_saturday_night_bool,116.42914187908173,83
has_location_score2,96.41963875293732,10
is_long_window,64.68897885084152,46
review_is_zero,50.28939068317413,30
is_cheapest,41.51899516582489,11
is_short_window,40.61348044872284,19
starrating_is_zero,35.654929518699646,7
is_best_review,25.02434003353119,13
has_distance,19.48253035545349,12
is_weekend_search,17.978745818138123,12
has_query_affinity,15.116792261600494,8
is_best_star,8.446701049804688,5
is_best_location1,7.803426027297974,7
is_most_expensive,5.701619863510132,2
has_historical_price,0.0,0
has_visitor_history,0.0,0
