dropped,n_remaining,ndcg5,delta_vs_best,recall5,mbr
rank_xendcg,9,0.407399014986736,-0.0010080221639898745,0.6225511225511225,6.211997711997712
lambdarank_randup,9,0.40747651985632355,-0.0009305172944022999,0.6224796224796225,6.194551694551695
CP,9,0.40768516999499077,-0.0007218671557350786,0.6228371228371229,6.196124696124696
lambdarank_noipw,9,0.4078009770604929,-0.0006060600902329516,0.6231231231231231,6.1923709423709425
DS,9,0.40792533440487744,-0.00048170274584841133,0.6235521235521235,6.19004719004719
lambdarank_bal15,9,0.4079873028799738,-0.00041973427075203684,0.6233376233376233,6.18979693979694
lambdarank_click3,9,0.4079940712475381,-0.0004129659031877342,0.6236593736593736,6.191262691262692
lambdarank_base,9,0.4080938636801044,-0.00031317347062143064,0.6235878735878736,6.195802945802946
lambdarank_book50,9,0.4083108633214727,-9.617382925314333e-05,0.6234091234091234,6.188045188045188
booking_clf,9,0.4089632047378948,0.0005561675871689764,0.6238738738738738,6.181824681824682
