member_id,type,label_gain,weight,extra_feature,status,best_iter,n_features,ndcg5,recall1,recall5,mean_booked_rank,delta_vs_v4_anchor,model_path,elapsed_min
lambdarank_base,lambdarank,"0,1,31",ipw,,ok,656,143,0.4048591338197043,0.23791648791648792,0.617939367939368,6.2621192621192625,0.0008491338197043063,/home/ubuntu/DataMiningTechniques/Assignment2/DataMiningAssignment2/models/gym_clean_v6_batch_20260516_163559/model_lambdarank_base.txt,4.16
lambdarank_click3,lambdarank,"0,3,31",ipw,,ok,522,143,0.40429676373494833,0.23712998712998712,0.6170813670813671,6.281031031031031,0.0002867637349483476,/home/ubuntu/DataMiningTechniques/Assignment2/DataMiningAssignment2/models/gym_clean_v6_batch_20260516_163559/model_lambdarank_click3.txt,3.52
lambdarank_bal15,lambdarank,"0,1,15",ipw,,ok,-1,143,0.4040074685235317,0.23795223795223797,0.6186901186901187,6.275025025025025,-2.531476468281557e-06,/home/ubuntu/DataMiningTechniques/Assignment2/DataMiningAssignment2/models/gym_clean_v6_batch_20260516_163559/model_lambdarank_bal15.txt,0.14
lambdarank_book50,lambdarank,"0,1,50",ipw,,ok,400,143,0.4034835324102093,0.2360932360932361,0.6165451165451166,6.290683540683541,-0.0005264675897906912,/home/ubuntu/DataMiningTechniques/Assignment2/DataMiningAssignment2/models/gym_clean_v6_batch_20260516_163559/model_lambdarank_book50.txt,2.97
lambdarank_noipw,lambdarank,"0,1,15",none,,ok,295,143,0.40338656532120776,0.234984984984985,0.6179036179036179,6.292649792649793,-0.0006234346787922229,/home/ubuntu/DataMiningTechniques/Assignment2/DataMiningAssignment2/models/gym_clean_v6_batch_20260516_163559/model_lambdarank_noipw.txt,2.01
rank_xendcg,xendcg,"0,1,15",ipw,,ok,663,143,0.40216230959071175,0.23419848419848419,0.6160088660088661,6.31006006006006,-0.0018476904092882274,/home/ubuntu/DataMiningTechniques/Assignment2/DataMiningAssignment2/models/gym_clean_v6_batch_20260516_163559/model_rank_xendcg.txt,3.43
lambdarank_randup,lambdarank,"0,2,25",randup,,ok,259,143,0.40154335106528605,0.23355498355498355,0.6127198627198627,6.321464321464322,-0.002466648934713933,/home/ubuntu/DataMiningTechniques/Assignment2/DataMiningAssignment2/models/gym_clean_v6_batch_20260516_163559/model_lambdarank_randup.txt,1.84
booking_clf,binary,,none,,ok,70,143,0.38681578437271186,0.22000572000572,0.5988845988845989,6.581510081510081,-0.017194215627288123,/home/ubuntu/DataMiningTechniques/Assignment2/DataMiningAssignment2/models/gym_clean_v6_batch_20260516_163559/model_booking_clf.txt,1.1
CP,lambdarank,"0,1,15",ipw,CP,ok,-1,144,0.4053282857019127,0.2373087373087373,0.6193693693693694,6.241348491348491,0.0013182857019127248,/home/ubuntu/DataMiningTechniques/Assignment2/DataMiningAssignment2/models/gym_clean_v6_batch_20260516_163559/model_CP.txt,0.13
DS,lambdarank,"0,1,15",ipw,DS,ok,-1,144,0.40495455929443425,0.23691548691548692,0.6185113685113686,6.276240526240526,0.0009445592944342662,/home/ubuntu/DataMiningTechniques/Assignment2/DataMiningAssignment2/models/gym_clean_v6_batch_20260516_163559/model_DS.txt,0.11
