config_id,description,ndcg5,recall5,mean_booked_rank,best_iter,label_gain,objective,boosting,weighting,feat_filter,row_filter,seed,n_features,kept,has_dart,has_goss,has_xendcg,has_filter,has_rowfilter,high_smoothing_or_drop,mbr_z,recall_z,ndcg_z
B3,"lg=0,2,15, w=ipw_clip3",0.42396113577726,0.6399591360186807,5.944541739638062,326.0,"0,2,15",lambdarank,gbdt,ipw_clip3,,,456,143,EXCELLENT,False,False,False,False,False,False,-1.3955486155222243,0.13136900194537945,3.5959898287690564
E4,"params={'num_leaves': 400, 'min_child_samples': 100}",0.4229054038189159,0.6420753064798599,5.947241681260945,518.0,"0,2,15",lambdarank,gbdt,ipw_default,,,456,143,STRONG,False,False,False,False,False,False,-1.2180359604841338,1.7709871781241993,1.9573161155925929
F13,"positive queries only, lg=0/3/15",0.4225321567469929,0.6422942206654991,5.968622300058377,500.0,"0,3,15",lambdarank,gbdt,ipw_default,,positive_q_only,456,143,STRONG,False,False,False,False,True,False,0.1876723618447446,1.9406028515220202,1.3779738304167217
E7,params={'learning_rate': 0.02},0.4225068692440406,0.6410537069468768,5.939433741973146,821.0,"0,2,15",lambdarank,gbdt,ipw_default,,,456,143,STRONG,False,False,False,False,False,False,-1.7313833682970643,0.9794473689343974,1.3387233691302687
D4,"feature_filter=top_120, lg=0,2,15",0.4222849173966679,0.6390834792761237,5.958187390542907,523.0,"0,2,15",lambdarank,gbdt,ipw_default,top_120,,456,120,STRONG,False,False,False,True,False,True,-0.49839006168095557,-0.5470936916459038,0.9942167403350137
A1,"label_gain=0,2,12",0.4220514324555018,0.6376970227670753,5.977378867483946,385.0,"0,2,12",lambdarank,gbdt,ipw_default,,,456,143,STRONG,False,False,False,False,False,False,0.7633890808872522,-1.6213262898320449,0.6318088085797469
E1,"params={'num_leaves': 255, 'min_child_samples': 100}",0.4220263276180668,0.6409077641564507,5.959865732632808,611.0,"0,2,15",lambdarank,gbdt,ipw_default,,,456,143,STRONG,False,False,False,False,False,False,-0.38804435719776303,0.8663702533358789,0.5928418749246924
A6,"label_gain=0,3,15",0.4219782765713343,0.6409077641564507,5.965119673088149,407.0,"0,3,15",lambdarank,gbdt,ipw_default,,,456,143,CANDIDATE,False,False,False,False,False,False,-0.042614325772281816,0.8663702533358789,0.518258561850925
B10,"lg=0,2,20, w=no_ipw",0.421976654275635,0.6393753648569761,6.004889083479276,358.0,"0,2,20",lambdarank,gbdt,no_ipw,,,456,143,CANDIDATE,False,False,False,False,False,False,2.572099106545927,-0.3209394604487807,0.5157404858408224
B6,"lg=0,2,15, w=rand_up_2.0",0.4219650903839774,0.6389375364856976,5.955706363105662,694.0,"0,2,15",lambdarank,gbdt,rand_up_2.0,,,456,143,CANDIDATE,False,False,False,False,False,False,-0.6615097987430256,-0.6601708072444223,0.49779137941129054
