ensemble_id,exp_id,date,member_ids,n_members,weighting,agg_method,local_ndcg5,kaggle_ndcg5,notes,method,members,weights,ndcg5,recall1,recall5,mean_booked_rank,beats_v4,n_queries,n_booked,note
v4_ens_top8,V4_ENSEMBLE,2026-05-14,lambdarank_base|lambdarank_click3|lambdarank_bal15|lambdarank_book50|lambdarank_noipw|lambdarank_randup|rank_xendcg|booking_clf,8,ndcg_proportional,rank_avg,0.42512,0.42021,V4 production ensemble. Member-level local scores not yet logged.,,,,,,,,,,,
E1_top3,,,,3,,,,,,equal_rank_avg,"B3,F13,D4",,0.42534254859070536,0.2568593111500292,0.6433158201984822,5.913018096906013,YES,19979.0,13704.0,Top 3 by val NDCG
E2_top5,,,,5,,,,,,equal_rank_avg,"B3,F13,D4,A1,B10",,0.4262159499557771,0.25561879743140686,0.645942790426153,5.910464098073555,YES,19979.0,13704.0,Top 5
E3_top10,,,,10,,,,,,equal_rank_avg,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1",,0.42520551842134724,0.2549620548744892,0.6453590192644484,5.909953298307063,YES,19979.0,13704.0,Top 10 recommended pool
E4_robust,,,,5,,,,,,equal_rank_avg,"B3,D4,B10,I3,F1",,0.42529065840757396,0.25445125510799765,0.6449941622883829,5.9152802101576185,YES,19979.0,13704.0,Diverse 5: weighting/feat/boost/row
E5_recall_heavy,,,,5,,,,,,equal_rank_avg,"B3,F13,B9,C11,F1",,0.42479133984198975,0.25474314068884996,0.6457968476357268,5.919804436660829,NO,19979.0,13704.0,5 best on Recall@5
E6_diverse,,,,5,,,,,,equal_rank_avg,"B3,D4,I3,B10,F13",,0.42564610417176474,0.2559836544074723,0.6451401050788091,5.910683012259194,YES,19979.0,13704.0,Maximum-axis-diversity 5
E7_no_positive_only,,,,8,,,,,,equal_rank_avg,"B3,D4,A1,B10,I3,B9,C9,C11",,0.42569396980194957,0.2564944541739638,0.6452130764740222,5.907107413893754,YES,19979.0,13704.0,Top 10 minus F13/F1 (no row filters)
E8_no_risky_position,,,,5,,,,,,equal_rank_avg,"D4,F13,B10,I3,F1",,0.4244723609109838,0.2535026269702277,0.6445563339171045,5.9186368943374195,NO,19979.0,13704.0,"5 members, no B3"
E9_strong_only,,,,4,,,,,,equal_rank_avg,"B3,F13,D4,A1",,0.42579616984863317,0.2564944541739638,0.6446293053123175,5.9151342673671925,YES,19979.0,13704.0,STRONG+EXCELLENT only
E10_top2,,,,2,,,,,,equal_rank_avg,"B3,F13",,0.4251464795813737,0.25882953882078225,0.6433887915936952,5.926882661996498,YES,19979.0,13704.0,Top 2 by val NDCG
E3_top10__equal,,,,10,,,,,,equal,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000",0.42520551842134724,0.2549620548744892,0.6453590192644484,5.909953298307063,YES,19979.0,13704.0,uniform
E3_top10__ndcg_weighted,,,,10,,,,,,ndcg_weighted,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.1005,0.1001,0.1001,0.1000,0.1000,0.1000,0.0999,0.0999,0.0998,0.0998",0.42540335879228025,0.25561879743140686,0.6452860478692353,5.911558669001751,YES,19979.0,13704.0,weights = val NDCG@5
E3_top10__softmax_ndcg,,,,10,,,,,,softmax_ndcg,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.4695,0.1125,0.0878,0.0695,0.0645,0.0547,0.0482,0.0381,0.0299,0.0252",0.42594931232454675,0.25809982486865146,0.643096906012843,5.9144045534150615,YES,19979.0,13704.0,"softmax(NDCG, T=0.001)"
E3_top10__softmax_ndcg_T0005,,,,10,,,,,,softmax_ndcg_T0005,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.1461,0.1098,0.1045,0.0997,0.0982,0.0950,0.0926,0.0884,0.0842,0.0814",0.42559241430524514,0.2559836544074723,0.6447752481027437,5.913528896672505,YES,19979.0,13704.0,"softmax(NDCG, T=0.005)"
E3_top10__inverse_rank,,,,10,,,,,,inverse_rank,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.3414,0.1707,0.1138,0.0854,0.0683,0.0569,0.0488,0.0427,0.0379,0.0341",0.42580043713092713,0.25766199649737304,0.6436806771745476,5.909734384121425,YES,19979.0,13704.0,1/rank by val NDCG order
GREEDY_FWD_FROM_B3,,,,8,,,,,,greedy_forward,"B3,A1,E4,B6,E3,B1,D14,A2",,0.4268853331326698,0.25795388207822534,0.6460887332165791,5.887113251605371,YES,19979.0,13704.0,Greedy forward selection from B3 over pool (34 candidates)
LOO_top10_drop_I3,,,,9,,,,,,loo_top10,"B3,F13,D4,A1,B10,B9,C9,C11,F1",,0.42548592037892047,,0.6455049620548745,5.909296555750146,YES,19979.0,13704.0,Top10 minus I3 (delta=+0.00028)
LOO_top10_drop_A1,,,,9,,,,,,loo_top10,"B3,F13,D4,B10,I3,B9,C9,C11,F1",,0.4254490807806097,,0.6457238762405137,5.905720957384705,YES,19979.0,13704.0,Top10 minus A1 (delta=+0.00024)
LOO_top10_drop_F13,,,,9,,,,,,loo_top10,"B3,D4,A1,B10,I3,B9,C9,C11,F1",,0.42537103097990653,,0.6447752481027437,5.907764156450671,YES,19979.0,13704.0,Top10 minus F13 (delta=+0.00017)
LOO_top10_drop_B3,,,,9,,,,,,loo_top10,"F13,D4,A1,B10,I3,B9,C9,C11,F1",,0.4252894083717413,,0.6452130764740222,5.911120840630473,YES,19979.0,13704.0,Top10 minus B3 (delta=+0.00008)
LOO_top10_drop_B9,,,,9,,,,,,loo_top10,"B3,F13,D4,A1,B10,I3,C9,C11,F1",,0.42519547267174496,,0.6446293053123175,5.913382953882079,YES,19979.0,13704.0,Top10 minus B9 (delta=-0.00001)
LOO_top10_drop_B10,,,,9,,,,,,loo_top10,"B3,F13,D4,A1,I3,B9,C9,C11,F1",,0.4251886528415364,,0.6452130764740222,5.911777583187391,YES,19979.0,13704.0,Top10 minus B10 (delta=-0.00002)
LOO_top10_drop_C11,,,,9,,,,,,loo_top10,"B3,F13,D4,A1,B10,I3,B9,C9,F1",,0.42518296624325613,,0.6447022767075307,5.914331582019848,YES,19979.0,13704.0,Top10 minus C11 (delta=-0.00002)
LOO_top10_drop_C9,,,,9,,,,,,loo_top10,"B3,F13,D4,A1,B10,I3,B9,C11,F1",,0.4251167714670937,,0.645067133683596,5.910391126678342,NO,19979.0,13704.0,Top10 minus C9 (delta=-0.00009)
LOO_top10_drop_F1,,,,9,,,,,,loo_top10,"B3,F13,D4,A1,B10,I3,B9,C9,C11",,0.42507499863629594,,0.6439725627553999,5.909004670169294,NO,19979.0,13704.0,Top10 minus F1 (delta=-0.00013)
LOO_top10_drop_D4,,,,9,,,,,,loo_top10,"B3,F13,A1,B10,I3,B9,C9,C11,F1",,0.4249444928701567,,0.6442644483362522,5.913601868067717,NO,19979.0,13704.0,Top10 minus D4 (delta=-0.00026)
W1_random_subset_000,,,,9,,,,,,WILDCARD_random_subset,"B1,B10,B7,C8,D11,D14,E3,E4,I3",,0.42601983484382944,0.2548161120840631,0.6473292469352014,5.900539988324577,YES,19979.0,13704.0,"WILDCARD W1 trial 265, k=9"
W1_random_subset_001,,,,5,,,,,,WILDCARD_random_subset,"B1,E3,E4,E7,F13",,0.42601417975047146,0.2568593111500292,0.6465995329830706,5.894483362521892,YES,19979.0,13704.0,"WILDCARD W1 trial 373, k=5"
W1_random_subset_002,,,,10,,,,,,WILDCARD_random_subset,"A13,A6,B7,C9,E1,E10,E3,E4,E6,F8",,0.42597921336517125,0.25722416812609455,0.6451401050788091,5.9039696438995914,YES,19979.0,13704.0,"WILDCARD W1 trial 443, k=10"
W1_random_subset_003,,,,4,,,,,,WILDCARD_random_subset,"B10,B3,C9,I3",,0.42591030248927036,0.25634851138353765,0.6446293053123175,5.914331582019848,YES,19979.0,13704.0,"WILDCARD W1 trial 304, k=4"
W1_random_subset_004,,,,10,,,,,,WILDCARD_random_subset,"A1,B10,B3,C9,D11,E3,E4,E6,F1,I1",,0.42590602398953814,0.2558377116170461,0.6463076474022184,5.906231757151197,YES,19979.0,13704.0,"WILDCARD W1 trial 426, k=10"
