model_id,exp_id,date,model_type,objective,boosting,label_gain,ipw_mode,n_features,seed,num_boost_round,best_iter,local_ndcg5,recall_at_5,mean_booked_rank,artifact_path,notes
v4_bal15,V4_BEST_SINGLE,2026-05-14,lightgbm,lambdarank,gbdt,"0,1,15",ipw_clipped,~80,42,3000,,0.42191,,,,User-reported best single in V4 ensemble. Becomes the base config for Phase 2-8 sweeps.
phase2_labelgain_INVALID_lg_0_1_10,P2_INVALID_lg_0_1_10,2026-05-15T21:34:07.792450+00:00,lightgbm,lambdarank,gbdt,"0,1,10",ipw_clipped,143,456,2000,453.0,0.4209563454376836,0.6390105078809106,5.959354932866316,(wiped),INVALID: lgb.Dataset pre-constructed with ds.construct() outside the loop → binning used default data_random_seed=1 instead of seed=456. Anchor check (run_id=phase2_anchor_check) confirmed: V4-style pattern reproduces 0.42191 exactly. Do not use these numbers for label_gain selection.
phase2_labelgain_INVALID_lg_0_1_12,P2_INVALID_lg_0_1_12,2026-05-15T21:34:07.792450+00:00,lightgbm,lambdarank,gbdt,"0,1,12",ipw_clipped,143,456,2000,554.0,0.4215364391724303,0.6401050788091068,5.969352014010508,(wiped),INVALID: lgb.Dataset pre-constructed with ds.construct() outside the loop → binning used default data_random_seed=1 instead of seed=456. Anchor check (run_id=phase2_anchor_check) confirmed: V4-style pattern reproduces 0.42191 exactly. Do not use these numbers for label_gain selection.
phase2_labelgain_INVALID_lg_0_1_15,P2_INVALID_lg_0_1_15,2026-05-15T21:34:07.792450+00:00,lightgbm,lambdarank,gbdt,"0,1,15",ipw_clipped,143,456,2000,421.0,0.4195119559166295,0.6368213660245184,5.98219497956801,(wiped),INVALID: lgb.Dataset pre-constructed with ds.construct() outside the loop → binning used default data_random_seed=1 instead of seed=456. Anchor check (run_id=phase2_anchor_check) confirmed: V4-style pattern reproduces 0.42191 exactly. Do not use these numbers for label_gain selection.
phase2_labelgain_INVALID_lg_0_1_18,P2_INVALID_lg_0_1_18,2026-05-15T21:34:07.792450+00:00,lightgbm,lambdarank,gbdt,"0,1,18",ipw_clipped,143,456,2000,338.0,0.4196045694286106,0.6384997081144191,6.000802685347344,(wiped),INVALID: lgb.Dataset pre-constructed with ds.construct() outside the loop → binning used default data_random_seed=1 instead of seed=456. Anchor check (run_id=phase2_anchor_check) confirmed: V4-style pattern reproduces 0.42191 exactly. Do not use these numbers for label_gain selection.
phase2_labelgain_INVALID_lg_0_1_20,P2_INVALID_lg_0_1_20,2026-05-15T21:34:07.792450+00:00,lightgbm,lambdarank,gbdt,"0,1,20",ipw_clipped,143,456,2000,447.0,0.4212957538376499,0.6395942790426153,5.959792761237595,(wiped),INVALID: lgb.Dataset pre-constructed with ds.construct() outside the loop → binning used default data_random_seed=1 instead of seed=456. Anchor check (run_id=phase2_anchor_check) confirmed: V4-style pattern reproduces 0.42191 exactly. Do not use these numbers for label_gain selection.
phase2_labelgain_INVALID_lg_0_2_15,P2_INVALID_lg_0_2_15,2026-05-15T21:34:07.792450+00:00,lightgbm,lambdarank,gbdt,"0,2,15",ipw_clipped,143,456,2000,442.0,0.4206317744965391,0.638353765323993,5.992848803269118,(wiped),INVALID: lgb.Dataset pre-constructed with ds.construct() outside the loop → binning used default data_random_seed=1 instead of seed=456. Anchor check (run_id=phase2_anchor_check) confirmed: V4-style pattern reproduces 0.42191 exactly. Do not use these numbers for label_gain selection.
phase2_anchor_check_anchor_lg_0_1_15,P2_ANCHOR_CHECK,2026-05-15T21:34:07.792450+00:00,lightgbm,lambdarank,gbdt,"0,1,15",ipw_clipped,143,456,2000,632.0,0.4219149237443544,0.6407618213660246,5.974168126094571,artifacts/phase2_anchor_check/model_result_anchor_lg_0_1_15.json,"Anchor reproduction test. V4-style Dataset pattern (fresh per iter, no explicit construct). Reproduces 0.42191 exactly."
v4.2_submit_lg_0_2_15,V4.2_SUBMIT,2026-05-15T22:49:24.869630+00:00,lightgbm,lambdarank,gbdt,"0,2,15",ipw_clipped,143,456,470,470.0,0.4225849286075321,0.6411996497373029,,artifacts/v4.2_submit/model_result.json,Phase 2 winner; full-data retrain for v4.2 submission.
phase2_labelgain_lg_0_1_10,P2_lg_0_1_10,2026-05-15T22:18:36.798164+00:00,lightgbm,lambdarank,gbdt,"0,1,10",ipw_clipped,143,456,2000,647.0,0.4219152388029706,0.6414915353181553,5.945125510799767,artifacts/phase2_labelgain/model_result_lg_0_1_10.json,Phase 2 label-gain sweep (corrected V4-style Dataset pattern)
phase2_labelgain_lg_0_1_12,P2_lg_0_1_12,2026-05-15T22:18:36.798164+00:00,lightgbm,lambdarank,gbdt,"0,1,12",ipw_clipped,143,456,2000,240.0,0.418695076029621,0.6373321657910099,6.026853473438412,artifacts/phase2_labelgain/model_result_lg_0_1_12.json,Phase 2 label-gain sweep (corrected V4-style Dataset pattern)
phase2_labelgain_lg_0_1_15,P2_lg_0_1_15,2026-05-15T22:18:36.798164+00:00,lightgbm,lambdarank,gbdt,"0,1,15",ipw_clipped,143,456,2000,632.0,0.4219149237443544,0.6407618213660246,5.974168126094571,artifacts/phase2_labelgain/model_result_lg_0_1_15.json,Phase 2 label-gain sweep (corrected V4-style Dataset pattern)
phase2_labelgain_lg_0_1_18,P2_lg_0_1_18,2026-05-15T22:18:36.798164+00:00,lightgbm,lambdarank,gbdt,"0,1,18",ipw_clipped,143,456,2000,315.0,0.4222852115176543,0.6417834208990076,5.9715411558669,artifacts/phase2_labelgain/model_result_lg_0_1_18.json,Phase 2 label-gain sweep (corrected V4-style Dataset pattern)
phase2_labelgain_lg_0_1_20,P2_lg_0_1_20,2026-05-15T22:18:36.798164+00:00,lightgbm,lambdarank,gbdt,"0,1,20",ipw_clipped,143,456,2000,389.0,0.4211600359481479,0.6398861646234676,5.971176298890835,artifacts/phase2_labelgain/model_result_lg_0_1_20.json,Phase 2 label-gain sweep (corrected V4-style Dataset pattern)
phase2_labelgain_lg_0_2_15,P2_lg_0_2_15,2026-05-15T22:18:36.798164+00:00,lightgbm,lambdarank,gbdt,"0,2,15",ipw_clipped,143,456,2000,470.0,0.4225849286075321,0.6411996497373029,5.957968476357268,artifacts/phase2_labelgain/model_result_lg_0_2_15.json,Phase 2 label-gain sweep (corrected V4-style Dataset pattern)
