config_id,description,ndcg5,recall5,mean_booked_rank,best_iter,label_gain,objective,boosting,weighting,feat_filter,row_filter,seed,n_features,kept
B3,"lg=0,2,15, w=ipw_clip3",0.42396113577726,0.6399591360186807,5.944541739638062,326.0,"0,2,15",lambdarank,gbdt,ipw_clip3,,,456,143,EXCELLENT
E4,"params={'num_leaves': 400, 'min_child_samples': 100}",0.4229054038189159,0.6420753064798599,5.947241681260945,518.0,"0,2,15",lambdarank,gbdt,ipw_default,,,456,143,STRONG
F13,"positive queries only, lg=0/3/15",0.4225321567469929,0.6422942206654991,5.968622300058377,500.0,"0,3,15",lambdarank,gbdt,ipw_default,,positive_q_only,456,143,STRONG
E7,params={'learning_rate': 0.02},0.4225068692440406,0.6410537069468768,5.939433741973146,821.0,"0,2,15",lambdarank,gbdt,ipw_default,,,456,143,STRONG
D4,"feature_filter=top_120, lg=0,2,15",0.4222849173966679,0.6390834792761237,5.958187390542907,523.0,"0,2,15",lambdarank,gbdt,ipw_default,top_120,,456,120,STRONG
A1,"label_gain=0,2,12",0.4220514324555018,0.6376970227670753,5.977378867483946,385.0,"0,2,12",lambdarank,gbdt,ipw_default,,,456,143,STRONG
E1,"params={'num_leaves': 255, 'min_child_samples': 100}",0.4220263276180668,0.6409077641564507,5.959865732632808,611.0,"0,2,15",lambdarank,gbdt,ipw_default,,,456,143,STRONG
A6,"label_gain=0,3,15",0.4219782765713343,0.6409077641564507,5.965119673088149,407.0,"0,3,15",lambdarank,gbdt,ipw_default,,,456,143,CANDIDATE
B10,"lg=0,2,20, w=no_ipw",0.421976654275635,0.6393753648569761,6.004889083479276,358.0,"0,2,20",lambdarank,gbdt,no_ipw,,,456,143,CANDIDATE
B6,"lg=0,2,15, w=rand_up_2.0",0.4219650903839774,0.6389375364856976,5.955706363105662,694.0,"0,2,15",lambdarank,gbdt,rand_up_2.0,,,456,143,CANDIDATE
E3,"params={'num_leaves': 512, 'min_child_samples': 100, 'reg_lambda': 2.0}",0.4218449069584134,0.641272621132516,5.961398131932283,551.0,"0,2,15",lambdarank,gbdt,ipw_default,,,456,143,CANDIDATE
I3,"GOSS boosting (gradient one-side sampling, diversity)",0.4218115217085209,0.6403239929947461,5.951984821949796,426.0,"0,2,15",lambdarank,goss,ipw_default,,,456,143,CANDIDATE
A13,"label_gain=0,1,30",0.4216881431978045,0.6398131932282545,5.962711617046118,514.0,"0,1,30",lambdarank,gbdt,ipw_default,,,456,143,CANDIDATE
B9,"lg=0,3,15, w=rand_up_1.5",0.4216841659483639,0.6399591360186807,5.975919439579685,435.0,"0,3,15",lambdarank,gbdt,rand_up_1.5,,,456,143,CANDIDATE
F8,random rows weight 3x,0.4216600219154528,0.64017805020432,5.979640980735551,437.0,"0,2,15",lambdarank,gbdt,rand_up_3.0,,,456,143,CANDIDATE
I6,"DART boosting, light drop_rate=0.05",0.4216251993909822,0.64017805020432,5.944833625218914,1500.0,"0,2,15",lambdarank,dart,ipw_default,,,456,143,CANDIDATE
C9,"lg=0,3,15, seed=2024",0.4214494378548917,0.6384997081144191,5.9697168709865736,591.0,"0,3,15",lambdarank,gbdt,ipw_default,,,2024,143,CANDIDATE
D11,"feature_filter=drop_booking_buckets, lg=0,2,15",0.4214466832259077,0.6407618213660246,5.97343841214244,514.0,"0,2,15",lambdarank,gbdt,ipw_default,drop_booking_buckets,,456,140,CANDIDATE
F2,downweight all-zero queries 0.1x,0.4214036543147207,0.6410537069468768,5.960814360770578,439.0,"0,2,15",lambdarank,gbdt,down_all_zero_q,,,456,143,CANDIDATE
E6,params={'subsample': 0.6},0.4214036543147207,0.6410537069468768,5.960814360770578,439.0,"0,2,15",lambdarank,gbdt,ipw_default,,,456,143,CANDIDATE
I1,"Heavy regularization (num_leaves=63, min_child=300, reg_l1=1, reg_l2=5)",0.4212442476669977,0.6376240513718622,5.951401050788091,1079.0,"0,2,15",lambdarank,gbdt,ipw_default,,,456,143,CANDIDATE
H2,DART boosting (diversity candidate),0.4212385081025689,0.6379159369527145,5.96606830122592,1500.0,"0,2,15",lambdarank,dart,ipw_default,,,456,143,CANDIDATE
C11,"lg=0,2,20, seed=123",0.4212082986421953,0.6399591360186807,5.94972270869819,465.0,"0,2,20",lambdarank,gbdt,ipw_default,,,123,143,CANDIDATE
B1,"lg=0,2,15, w=no_ipw",0.4211999717030242,0.6370402802101576,5.993140688849971,363.0,"0,2,15",lambdarank,gbdt,no_ipw,,,456,143,CANDIDATE
A2,"label_gain=0,2,18",0.4211473384948694,0.6382807939287799,5.9605954465849385,539.0,"0,2,18",lambdarank,gbdt,ipw_default,,,456,143,CANDIDATE
B7,"lg=0,3,15, w=no_ipw",0.4211130638933019,0.6379159369527145,6.002116170461179,359.0,"0,3,15",lambdarank,gbdt,no_ipw,,,456,143,CANDIDATE
C8,"lg=0,3,15, seed=789",0.4211012295346639,0.6403239929947461,5.955268534734384,479.0,"0,3,15",lambdarank,gbdt,ipw_default,,,789,143,CANDIDATE
E9,params={'reg_lambda': 3.0},0.4210925706952336,0.6386456509048453,5.972489784004671,322.0,"0,2,15",lambdarank,gbdt,ipw_default,,,456,143,CANDIDATE
A5,"label_gain=0,3,12",0.4210860870131338,0.6403969643899592,5.9740951546993575,344.0,"0,3,12",lambdarank,gbdt,ipw_default,,,456,143,CANDIDATE
A11,"label_gain=0,5,20",0.4210860870131338,0.6403969643899592,5.9740951546993575,344.0,"0,5,20",lambdarank,gbdt,ipw_default,,,456,143,CANDIDATE
